scenario,clientID,stage,samples,mean_ms,p0_ms,p10_ms,p20_ms,p30_ms,p40_ms,p50_ms,p60_ms,p70_ms,p80_ms,p90_ms,p95_ms,p99_ms,p100_ms
S1N,light-producer-5,ack_received,10968,43.446,0.451,2.637,5.200,9.770,17.094,26.952,36.895,50.345,67.345,101.169,146.989,278.390,474.130
S1N,light-producer-4,ack_received,10953,28.562,0.399,1.969,3.237,5.067,7.936,12.260,19.463,28.448,42.490,71.067,110.108,209.724,464.369
S1N,light-producer-3,ack_received,10960,41.094,0.514,3.150,5.043,8.383,13.917,22.233,32.369,44.148,61.589,99.654,150.659,279.928,461.626
S1N,light-producer-2,ack_received,10954,28.908,0.448,1.891,3.275,5.030,7.644,12.142,19.233,28.979,43.176,72.361,112.171,210.727,464.598
S1N,heavy-producer-1,ack_received,53869,3198.444,1281.008,1505.281,1768.703,2205.094,2557.937,2953.052,3314.886,3915.802,4411.088,5189.671,6045.018,7341.577,7792.073
S1N,light-producer-1,ack_received,10970,44.901,0.510,3.023,5.989,10.581,17.597,26.741,37.446,50.475,68.506,106.956,161.870,266.718,436.800
S1N,light-producer-5,service_gap,10968,4.994,0.013,0.021,0.034,0.116,1.958,3.349,4.484,5.681,7.347,11.115,16.056,34.443,288.159
S1N,light-producer-4,service_gap,10953,4.999,0.012,0.029,0.171,1.417,2.768,3.867,4.804,5.843,7.219,10.185,14.112,28.993,334.799
S1N,light-producer-3,service_gap,10960,4.997,0.013,0.023,0.040,0.280,2.115,3.410,4.575,5.877,7.491,10.821,15.104,32.498,239.640
S1N,light-producer-2,service_gap,10954,4.998,0.013,0.029,0.147,1.405,2.695,3.826,4.821,5.883,7.297,10.217,14.078,29.458,335.193
S1N,heavy-producer-1,service_gap,53869,1.054,0.012,0.021,0.022,0.023,0.025,0.028,0.034,0.051,0.099,2.979,6.250,16.617,230.995
S1N,light-producer-1,service_gap,10970,4.994,0.012,0.022,0.034,0.089,1.434,3.109,4.453,5.812,7.680,11.244,16.034,35.515,242.730
