scenario,clientID,stage,samples,mean_ms,p0_ms,p10_ms,p20_ms,p30_ms,p40_ms,p50_ms,p60_ms,p70_ms,p80_ms,p90_ms,p95_ms,p99_ms,p100_ms
S1N_L5_T1000,light-producer-5,ack_received,10920,20.703,0.385,2.296,3.665,5.291,7.369,10.529,15.280,22.223,32.286,48.351,68.503,143.447,301.539
S1N_L5_T1000,light-producer-4,ack_received,10917,12.792,0.399,1.562,2.381,3.230,4.249,5.648,7.785,11.416,17.711,31.033,47.307,106.649,206.753
S1N_L5_T1000,light-producer-3,ack_received,10918,17.854,0.437,2.016,3.131,4.280,5.945,8.580,12.619,18.979,28.779,44.731,63.210,113.297,194.080
S1N_L5_T1000,light-producer-2,ack_received,10917,12.492,0.345,1.514,2.330,3.196,4.250,5.627,7.767,11.360,17.138,30.121,45.612,103.555,207.338
S1N_L5_T1000,heavy-producer-1,ack_received,73753,2387.099,1215.208,1699.318,1842.292,1944.429,2065.985,2194.668,2299.053,2563.814,2835.336,3490.996,4016.743,4386.872,4907.825
S1N_L5_T1000,light-producer-1,ack_received,10919,19.765,0.383,2.139,3.213,4.502,6.539,9.910,14.788,21.890,31.548,46.415,66.029,139.582,200.891
S1N_L5_T1000,light-producer-5,service_gap,10920,5.012,0.014,0.039,0.687,2.178,3.264,4.149,5.067,6.084,7.484,10.080,13.022,23.222,180.170
S1N_L5_T1000,light-producer-4,service_gap,10917,5.014,0.014,0.354,1.677,2.678,3.553,4.353,5.119,6.006,7.185,9.331,11.951,20.254,171.429
S1N_L5_T1000,light-producer-3,service_gap,10918,5.012,0.015,0.059,1.324,2.462,3.408,4.289,5.097,6.034,7.340,9.680,12.500,22.621,173.513
S1N_L5_T1000,light-producer-2,service_gap,10916,5.013,0.015,0.395,1.658,2.694,3.571,4.395,5.139,6.034,7.157,9.298,11.873,20.539,171.827
S1N_L5_T1000,heavy-producer-1,service_gap,73753,0.784,0.013,0.021,0.022,0.023,0.024,0.027,0.031,0.043,0.085,2.601,5.049,11.756,172.763
S1N_L5_T1000,light-producer-1,service_gap,10919,5.012,0.013,0.042,1.307,2.467,3.412,4.267,5.070,5.947,7.106,9.583,12.686,23.266,180.167
